trade_date,account,coin,sentiment_bucket,trades,pnl,win_rate,notional,fg_value_mean,pnl_per_notional
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,BLUR,Greed,32,3051.77917,0.78125,109184.34000000001,84.0,0.027950704011216257
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,BTC,Greed,20,-0.01895,0.15,220.23,84.0,-8.604640603005949e-05
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,CAKE,Greed,9,268.68335,0.8888888888888888,17104.58,84.0,0.015708269364111835
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,CANTO,Greed,2,-0.042,0.0,20.27,84.0,-0.0020720276270350274
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,DOGE,Greed,161,15323.105457,0.9130434782608695,979129.64,84.0,0.015649720763228042
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ETH,Greed,9,-0.20400000000000001,0.1111111111111111,1526.81,84.0,-0.0001336119097988617
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,FET,Greed,47,212.1121,0.44680851063829785,105309.69,84.0,0.0020141745740586644
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,FTM,Greed,60,6893.5180119999995,0.85,445993.07,84.0,0.015456558578365353
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ILV,Greed,40,899.009143,0.275,116417.52,84.0,0.00772228392255736
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,IMX,Greed,6,36.050309999999996,0.8333333333333334,4448.7,84.0,0.008103560590734372
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,INJ,Greed,63,5649.09752,0.8095238095238095,300571.79,84.0,0.018794503369727412
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,JUP,Greed,70,2086.378863,0.9571428571428572,152093.02,84.0,0.013717781808790437
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MANTA,Greed,10,1392.3068899999998,0.8,72308.6,84.0,0.01925506634065657
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MAV,Greed,2,0.0189,0.5,21.049999999999997,84.0,0.0008978622327790975
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MAVIA,Greed,16,1801.5562400000001,0.6875,33960.149999999994,84.0,0.053049124930249145
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MEME,Greed,37,3612.802546,0.7837837837837838,137291.4,84.0,0.026314849626415057
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MINA,Greed,8,198.7045,0.875,12246.55,84.0,0.01622534509719064
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,MYRO,Greed,13,51.19653,0.9230769230769231,46780.82,84.0,0.0010943914621419633
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,NEAR,Greed,201,13924.711916,0.945273631840796,811027.9,84.0,0.017169214420367042
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,NTRN,Greed,54,1392.099089,0.8888888888888888,113139.52,84.0,0.012304269003439294
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ONDO,Greed,262,13999.536764,0.8129770992366412,874413.18,84.0,0.016010207856199058
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,OP,Greed,63,2396.96776,0.9047619047619048,202393.85,84.0,0.011843085943569925
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,PENDLE,Greed,33,1101.6328,0.8787878787878788,79335.92,84.0,0.013885674988076021
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,PIXEL,Greed,23,405.89459999999997,0.6956521739130435,34839.78,84.0,0.01165032040960075
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,POLYX,Greed,14,618.133683,0.9285714285714286,32669.5,84.0,0.01892081859226496
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,PURR/USDC,Greed,1,0.0,0.0,1676.03,84.0,0.0
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,RNDR,Greed,137,13527.472602,0.9051094890510949,602251.92,84.0,0.022461485223658564
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,RUNE,Greed,69,1899.7633720000001,0.6666666666666666,128458.31,84.0,0.014788948819270627
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,SEI,Greed,4,0.00345,0.25,49.34,84.0,6.992298338062423e-05
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,STG,Greed,7,179.54376000000002,0.7142857142857143,10728.33,84.0,0.016735480731856683
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,STRK,Greed,16,-1608.81,0.0,79854.86,84.0,-0.020146676107127354
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,STX,Greed,42,1484.61133,0.9285714285714286,110903.95,84.0,0.013386460356010764
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,SUI,Greed,4,667.48026,0.75,18447.06,84.0,0.03618355770513025
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,TIA,Greed,2,0.916,0.5,82.3,84.0,0.011130012150668287
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,TNSR,Greed,27,422.54312000000004,0.7407407407407407,39781.57,84.0,0.010621579791848338
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,WIF,Greed,158,11438.629848,0.8987341772151899,483412.77,84.0,0.023662241789764882
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,WLD,Greed,209,15083.999684,0.9090909090909091,898620.27,84.0,0.016785732736698672
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,XAI,Greed,8,1074.213807,0.75,64998.32,84.0,0.016526793415583666
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ZEN,Greed,17,-1492.4,0.0,32194.38,84.0,-0.046355916778021505
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ZETA,Greed,239,4617.29366,0.9414225941422594,313486.4,84.0,0.01472884839661306
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,kBONK,Greed,417,36250.180852,0.8848920863309353,1950733.73,84.0,0.01858284413424276
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,kPEPE,Greed,182,17890.634919,0.7912087912087912,1116453.73,84.0,0.016024519815075543
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,AAVE,Greed,48,-5516.747475,0.0,273120.49,84.0,-0.02019895129435364
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ALT,Greed,7,230.6728,0.2857142857142857,10230.63,84.0,0.022547272259870604
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ARB,Greed,13,40.527412,0.3076923076923077,100060.73999999999,84.0,0.0004050281059284591
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ARK,Greed,5,26.13828,0.8,526.71,84.0,0.04962556245372216
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BANANA,Greed,8,-81.48518800000001,0.0,1078.52,84.0,-0.0755527834439788
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,Greed,1429,-4614.602733,0.27641707487753675,11529426.49,84.0,-0.00040024564422197896
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,CAKE,Greed,8,159.880674,0.5,1160.51,84.0,0.13776759700476515
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,CYBER,Greed,2,191.5296,0.5,1191.71,84.0,0.16071829555848316
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,DOGE,Greed,4,238.326075,0.25,10243.210000000001,84.0,0.02326673718492543
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,DYM,Greed,13,104.35005000000001,0.23076923076923078,13895.39,84.0,0.007509688465023293
